acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16048,49138,15921,16133,48985,16198,15530,48909,16273,48358,48797,16289,48903,48903,16011,48804,48900,16141
16179,48806,48318,48944,48689,48788,48940,15691,15820,48936,15755,16091,48996,48963,16259,16152,48870,16259
48958,48897,16283,49073,15872,16289,49041,48406,16344,48958,48484,16328,49055,16104,48730,16068,48758,16258
16230,16108,16101,48395,16148,16090,48517,16036,16218,48782,15768,16272,49011,16017,16125,15941,48862,16223
16293,16077,48908,16202,16034,48948,16102,16052,48882,15816,16014,48522,48985,15937,16070,48702,48947,16099
16255,16230,48931,16276,16210,49070,16293,16265,49096,16269,16236,49001,15677,16217,15963,48955,48947,15994
15993,16251,48997,16141,16017,49035,16142,49049,15982,16167,48522,48937,16252,16220,48983,48917,48930,49007
48962,16213,16047,48934,16272,48851,48812,16280,48802,48770,16156,15968,15884,16227,48769,48778,48918,48820
48256,48498,16161,15666,15741,16190,15492,15964,16187,48620,15999,16213,48439,16260,48459,48844,48965,48875
16166,48760,48584,16051,48875,48340,15514,48896,15536,48688,48846,16032,48517,16148,15580,49001,48996,48927
16258,48822,49049,16127,49002,49042,48344,49051,49037,48716,49038,48987,48965,48784,48854,48979,48983,48938
16270,48764,48873,16251,48940,48968,16185,49035,49033,16153,49097,49007,49067,49100,16003,16278,48961,16212
16133,49178,48927,15788,49236,15872,16200,49244,48940,15919,49172,16286,48952,48919,16150,15816,48984,16200
48638,48921,48878,48939,48860,48964,48639,48768,48865,15937,48903,15715,48709,49075,16385,15432,16101,16344
15364,49042,48977,48763,49150,15760,16001,49138,48872,16297,49109,15913,48788,48943,16229,16064,48930,16133
16155,49045,48120,15686,49069,16071,48866,49079,16177,48832,49104,16290,49106,48916,16121,15849,49060,16111
48781,49103,48927,48966,49090,48828,48991,49104,15867,49000,49084,48438,49006,48949,48903,48901,48862,16213
48573,49224,48995,49024,49301,48780,49037,49285,49156,16033,49232,49034,15868,49042,15904,48896,15687,16203
16190,15835,16124,16115,48762,16201,16017,48725,16069,15909,48839,16146,48641,48804,48789,48884,48636,16165
15753,47968,15875,15876,15968,15733,16052,16125,15496,48553,16276,48778,48971,16105,48896,15858,48978,16225
16235,49091,16227,16129,49083,16231,15890,49043,16177,15949,49064,16255,49028,16120,15610,15877,49091,16212
16122,49087,15745,15838,49102,16062,48645,49094,15942,48531,49074,16034,49005,48919,48725,48615,48899,16184
48994,49238,49018,48558,49324,16258,49051,49343,16086,16303,49281,49022,48456,49073,16156,15574,48469,16206
16280,48911,16194,16291,48900,15724,16139,48776,48996,16140,49016,48839,16254,49022,48934,48971,15873,16277
16273,49050,16106,16213,48910,48959,16168,48840,48957,48449,16113,48915,48854,15988,48910,48587,48927,16223
16219,49024,16058,16062,49073,16141,48775,49105,16158,15556,49092,16230,49117,48876,48414,16059,49039,16191
16219,49145,16032,15983,49161,16229,48809,49174,16214,48804,49173,16296,49120,48927,48673,48556,48826,16229
16131,49206,15922,48715,49225,16192,48925,49269,15772,15919,49246,15972,48873,49008,48534,48486,15771,16183
16185,15749,48893,15833,15872,48984,16137,15867,48802,16077,48524,15816,49088,49018,48686,48320,16025,16280
16187,48769,48644,16116,48693,48933,16122,15879,48962,48783,15998,15665,49037,48787,16003,16066,48911,16266
16283,49062,48911,16183,49130,48748,15993,49155,48766,16039,49159,16001,49060,48994,15807,48875,15785,16180
16163,49209,49024,16038,49281,16013,15805,49304,48811,16213,49271,48800,16156,49103,16032,15873,16054,16232
16014,15916,48733,16134,15938,48630,48448,16051,15008,48846,16091,48723,48822,48808,48710,15777,48650,16235
15376,48985,15554,16096,49042,48829,16068,49027,48945,16057,48912,15264,48994,48900,15973,16018,48914,16296
16334,49157,48895,16263,49197,48948,16177,49177,49061,16054,49189,48606,49092,49035,48621,48929,48920,16145
15811,49047,49011,48865,49061,48818,49078,49071,15576,48971,49154,16342,16268,49057,48224,48935,16006,16233
